"(1, 3)","{'down': -0.49999962259759434, 'right': -0.49999965731458706, 'up': -0.49999959604914535, 'left': -0.49999960505455904}"
"(6, 6)","{'down': -0.49999962689033667, 'right': -0.4999996268833203, 'up': -0.4999996249416102, 'left': -0.4999996310680148}"
"(3, 0)","{'down': -0.49999884463867295, 'right': -0.49999881806305785, 'up': -0.49999884485796914, 'left': 0.8630479235005735}"
"(3, 2)","{'down': 13.22363762965254, 'right': 13.224314211064367, 'up': 13.224987968567088, 'left': 15}"
"(2, 1)","{'down': 9.510981303944522, 'right': -0.499998864616232, 'up': -0.4999988773130235, 'left': -0.4999988708605637}"
"(0, 0)","{'down': -0.4999993667213035, 'right': 10.929477842416041, 'up': -0.49999917635987345, 'left': -0.49999929951293737}"
"(1, 6)","{'down': -0.4999997159301033, 'right': -0.4999996879528683, 'up': -0.4999996942738013, 'left': -0.4999997664603629}"
"(5, 1)","{'down': 11.506301591495125, 'right': 43.1, 'up': 15, 'left': 15}"
"(2, 5)","{'down': -0.49999969699826174, 'right': -0.49999968017009505, 'up': -0.49999967521030675, 'left': -0.4999997118543936}"
"(0, 3)","{'down': -0.49999961386238506, 'right': -0.4999995518173921, 'up': 5.35172197674964, 'left': -0.4999995964784698}"
"(4, 0)","{'down': 22.04325752424774, 'right': 15, 'up': 15, 'left': 15}"
"(1, 2)","{'down': -0.4999995863241201, 'right': -0.49999951783850816, 'up': -0.49999951685737465, 'left': 2.963260754814833}"
"(3, 3)","{'down': 15, 'right': 15, 'up': 15, 'left': 15}"
"(1, 5)","{'down': -0.4999996983509789, 'right': -0.4999996985478368, 'up': -0.4999996853543047, 'left': -0.49999968317511334}"
"(4, 4)","{'down': -0.49999969222322294, 'right': -0.49999965382875156, 'up': -0.49999967599032324, 'left': -0.4999996773609654}"
"(6, 3)","{'down': 15, 'right': 15, 'up': 15, 'left': 15}"
"(5, 6)","{'down': -0.4999996781361424, 'right': -0.49999962745114074, 'up': -0.49999962893331085, 'left': -0.4999996823261034}"
"(3, 6)","{'down': -0.4999996437386901, 'right': -0.49999968321326405, 'up': -0.4999996894441321, 'left': -0.49999969702276387}"
"(2, 2)","{'down': 6.299462124318994, 'right': 13.26096952455839, 'up': 9.43125227398857, 'left': 6.501014781607426}"
"(3, 5)","{'down': -0.49999968561853436, 'right': -0.49999966702302945, 'up': -0.4999996780504576, 'left': -0.49999969985171167}"
"(4, 1)","{'down': 10.191223392539031, 'right': 34.38, 'up': 12.46680034968875, 'left': 12.466800360486488}"
"(1, 1)","{'down': 15, 'right': 15, 'up': 15, 'left': 15}"
"(6, 4)","{'down': -0.4999996258263239, 'right': -0.49999965191651957, 'up': -0.4999996493996923, 'left': -0.4999996721322938}"
"(5, 4)","{'down': -0.49999967192318007, 'right': -0.4999996499600189, 'up': -0.4999996748371649, 'left': -0.49999967643108745}"
"(2, 6)","{'down': -0.4999996625197791, 'right': -0.4999996901608474, 'up': -0.4999997058667658, 'left': -0.49999969263345767}"
